entity_id,entity_name,segment,owner
GRO001,Growth initiative 1,Growth,Analytics
GRO002,Growth initiative 2,Watch,Customer
GRO003,Growth initiative 3,Growth,Customer
GRO004,Growth initiative 4,Growth,Analytics
GRO005,Growth initiative 5,Core,Operations
GRO006,Growth initiative 6,Growth,Analytics
GRO007,Growth initiative 7,Core,Analytics
GRO008,Growth initiative 8,Strategic,Analytics
GRO009,Growth initiative 9,Watch,Analytics
GRO010,Growth initiative 10,Strategic,Analytics
GRO011,Growth initiative 11,Growth,Operations
GRO012,Growth initiative 12,Strategic,Operations
GRO013,Growth initiative 13,Growth,Customer
GRO014,Growth initiative 14,Growth,Customer
GRO015,Growth initiative 15,Strategic,Customer
GRO016,Growth initiative 16,Watch,Analytics
GRO017,Growth initiative 17,Core,Revenue
GRO018,Growth initiative 18,Watch,Analytics
GRO019,Growth initiative 19,Growth,Analytics
GRO020,Growth initiative 20,Growth,Analytics
GRO021,Growth initiative 21,Core,Revenue
GRO022,Growth initiative 22,Growth,Product
GRO023,Growth initiative 23,Strategic,Revenue
GRO024,Growth initiative 24,Growth,Customer
GRO025,Growth initiative 25,Strategic,Analytics
GRO026,Growth initiative 26,Growth,Analytics
GRO027,Growth initiative 27,Strategic,Analytics
GRO028,Growth initiative 28,Core,Revenue
GRO029,Growth initiative 29,Watch,Customer
GRO030,Growth initiative 30,Strategic,Customer
GRO031,Growth initiative 31,Watch,Operations
GRO032,Growth initiative 32,Core,Product
GRO033,Growth initiative 33,Watch,Revenue
GRO034,Growth initiative 34,Core,Analytics
GRO035,Growth initiative 35,Core,Product
GRO036,Growth initiative 36,Watch,Customer
